Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.049357	-0.049357
1	0.995007	75000	-0.049324	-0.098682
2	0.992517	75000	-0.049053	-0.147735
3	0.990030	75000	-0.049149	-0.196884
4	0.987547	75000	-0.049096	-0.245979
5	0.985067	75000	-0.048982	-0.294961
6	0.982592	75000	-0.048904	-0.343866
7	0.980120	75000	-0.048790	-0.392656
8	0.977652	75000	-0.048782	-0.441437
9	0.975187	75000	-0.048726	-0.490163
10	0.972726	75000	-0.048659	-0.538822
11	0.970269	75000	-0.048679	-0.587501
12	0.967816	75000	-0.048636	-0.636137
13	0.965367	75000	-0.048531	-0.684668
14	0.962921	75000	-0.048302	-0.732970
15	0.960479	75000	-0.048300	-0.781270
16	0.958040	75000	-0.048293	-0.829564
17	0.955606	75000	-0.048214	-0.877778
18	0.953175	75000	-0.048248	-0.926026
19	0.950747	75000	-0.048054	-0.974079
20	0.948324	75000	-0.048087	-1.022166
21	0.945904	75000	-0.047998	-1.070165
22	0.943488	75000	-0.047845	-1.118010
23	0.941076	75000	-0.047838	-1.165848
24	0.938667	75000	-0.047817	-1.213664
25	0.936262	75000	-0.047615	-1.261280
26	0.933861	75000	-0.047619	-1.308899
27	0.931463	75000	-0.047536	-1.356435
28	0.929069	75000	-0.047488	-1.403923
29	0.926679	75000	-0.047513	-1.451436
30	0.924293	75000	-0.047411	-1.498847
31	0.921910	75000	-0.047353	-1.546200
32	0.919531	75000	-0.047259	-1.593459
33	0.917155	75000	-0.047290	-1.640749
34	0.914783	75000	-0.047153	-1.687901
35	0.912415	75000	-0.047094	-1.734995
36	0.910051	75000	-0.047068	-1.782063
37	0.907690	75000	-0.047014	-1.829077
38	0.905333	75000	-0.046890	-1.875967
39	0.902980	75000	-0.046829	-1.922796
40	0.900630	75000	-0.046817	-1.969613
41	0.898284	75000	-0.046734	-2.016347
42	0.895942	75000	-0.046677	-2.063025
43	0.893603	75000	-0.046502	-2.109527
44	0.891268	75000	-0.046443	-2.155970
45	0.888937	75000	-0.046510	-2.202480
46	0.886609	75000	-0.046359	-2.248839
47	0.884285	75000	-0.046332	-2.295171
48	0.881965	75000	-0.046240	-2.341410
49	0.879648	75000	-0.046243	-2.387653
50	0.877335	75000	-0.046224	-2.433877
51	0.875026	75000	-0.046058	-2.479935
52	0.872720	75000	-0.046012	-2.525947
53	0.870418	75000	-0.045892	-2.571840
54	0.868120	75000	-0.045950	-2.617790
55	0.865825	75000	-0.045910	-2.663700
56	0.863534	75000	-0.045813	-2.709513
57	0.861246	75000	-0.045753	-2.755265
58	0.858962	75000	-0.045649	-2.800914
59	0.856682	75000	-0.045566	-2.846480
60	0.854405	75000	-0.045509	-2.891989
61	0.852132	75000	-0.045462	-2.937451
62	0.849863	75000	-0.045470	-2.982921
63	0.847597	75000	-0.045399	-3.028320
64	0.845335	75000	-0.045210	-3.073530
65	0.843077	75000	-0.045288	-3.118818
66	0.840822	75000	-0.045260	-3.164078
67	0.838571	75000	-0.045119	-3.209197
68	0.836323	75000	-0.045006	-3.254203
69	0.834079	75000	-0.044999	-3.299203
70	0.831839	75000	-0.044967	-3.344170
71	0.829602	75000	-0.044819	-3.388989
72	0.827369	75000	-0.044765	-3.433754
73	0.825140	75000	-0.044733	-3.478487
74	0.822914	75000	-0.044642	-3.523129
75	0.820691	75000	-0.044619	-3.567748
76	0.818473	75000	-0.044518	-3.612266
77	0.816258	75000	-0.044485	-3.656751
78	0.814046	75000	-0.044411	-3.701162
79	0.811838	75000	-0.044321	-3.745483
80	0.809634	75000	-0.044291	-3.789774
81	0.807433	75000	-0.044287	-3.834061
82	0.805236	75000	-0.044205	-3.878266
83	0.803043	75000	-0.044077	-3.922342
84	0.800853	75000	-0.044105	-3.966447
85	0.798667	75000	-0.043948	-4.010395
86	0.796484	75000	-0.044002	-4.054396
87	0.794305	75000	-0.043881	-4.098277
88	0.792129	75000	-0.043797	-4.142074
89	0.789957	75000	-0.043758	-4.185833
90	0.787789	75000	-0.043685	-4.229518
91	0.785624	75000	-0.043687	-4.273205
