Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.018040	-0.018040
1	0.995007	75000	-0.018051	-0.036091
2	0.992517	75000	-0.017977	-0.054069
3	0.990030	75000	-0.017942	-0.072010
4	0.987547	75000	-0.017968	-0.089978
5	0.985067	75000	-0.017824	-0.107802
6	0.982592	75000	-0.017808	-0.125610
7	0.980120	75000	-0.017854	-0.143465
8	0.977652	75000	-0.017847	-0.161312
9	0.975187	75000	-0.017811	-0.179122
10	0.972726	75000	-0.017806	-0.196928
11	0.970269	75000	-0.017810	-0.214738
12	0.967816	75000	-0.017790	-0.232528
13	0.965367	75000	-0.017784	-0.250312
14	0.962921	75000	-0.017726	-0.268038
15	0.960479	75000	-0.017684	-0.285722
16	0.958040	75000	-0.017652	-0.303373
17	0.955606	75000	-0.017704	-0.321078
18	0.953175	75000	-0.017657	-0.338735
19	0.950747	75000	-0.017604	-0.356338
20	0.948324	75000	-0.017632	-0.373971
21	0.945904	75000	-0.017667	-0.391637
22	0.943488	75000	-0.017591	-0.409228
23	0.941076	75000	-0.017549	-0.426777
24	0.938667	75000	-0.017558	-0.444335
25	0.936262	75000	-0.017494	-0.461829
26	0.933861	75000	-0.017532	-0.479361
27	0.931463	75000	-0.017472	-0.496833
28	0.929069	75000	-0.017449	-0.514282
29	0.926679	75000	-0.017391	-0.531673
30	0.924293	75000	-0.017431	-0.549105
31	0.921910	75000	-0.017371	-0.566475
32	0.919531	75000	-0.017396	-0.583872
33	0.917155	75000	-0.017345	-0.601217
34	0.914783	75000	-0.017374	-0.618591
35	0.912415	75000	-0.017311	-0.635903
36	0.910051	75000	-0.017268	-0.653170
37	0.907690	75000	-0.017227	-0.670398
38	0.905333	75000	-0.017264	-0.687662
39	0.902980	75000	-0.017230	-0.704892
40	0.900630	75000	-0.017250	-0.722141
41	0.898284	75000	-0.017199	-0.739340
42	0.895942	75000	-0.017187	-0.756527
43	0.893603	75000	-0.017131	-0.773658
44	0.891268	75000	-0.017151	-0.790809
45	0.888937	75000	-0.017123	-0.807933
46	0.886609	75000	-0.017028	-0.824961
47	0.884285	75000	-0.017065	-0.842027
48	0.881965	75000	-0.017028	-0.859055
49	0.879648	75000	-0.017064	-0.876118
50	0.877335	75000	-0.017034	-0.893152
51	0.875026	75000	-0.016998	-0.910151
52	0.872720	75000	-0.017002	-0.927152
53	0.870418	75000	-0.016909	-0.944061
54	0.868120	75000	-0.016973	-0.961034
55	0.865825	75000	-0.016906	-0.977941
56	0.863534	75000	-0.016872	-0.994813
57	0.861246	75000	-0.016884	-1.011697
58	0.858962	75000	-0.016793	-1.028489
59	0.856682	75000	-0.016805	-1.045295
60	0.854405	75000	-0.016815	-1.062109
61	0.852132	75000	-0.016784	-1.078893
62	0.849863	75000	-0.016773	-1.095666
63	0.847597	75000	-0.016735	-1.112401
64	0.845335	75000	-0.016790	-1.129191
65	0.843077	75000	-0.016693	-1.145885
66	0.840822	75000	-0.016658	-1.162542
67	0.838571	75000	-0.016693	-1.179235
68	0.836323	75000	-0.016614	-1.195849
69	0.834079	75000	-0.016663	-1.212511
70	0.831839	75000	-0.016634	-1.229145
71	0.829602	75000	-0.016589	-1.245734
72	0.827369	75000	-0.016632	-1.262366
73	0.825140	75000	-0.016542	-1.278908
74	0.822914	75000	-0.016591	-1.295500
75	0.820691	75000	-0.016490	-1.311989
76	0.818473	75000	-0.016555	-1.328545
77	0.816258	75000	-0.016464	-1.345009
78	0.814046	75000	-0.016451	-1.361460
79	0.811838	75000	-0.016461	-1.377921
80	0.809634	75000	-0.016461	-1.394382
81	0.807433	75000	-0.016422	-1.410804
82	0.805236	75000	-0.016349	-1.427153
83	0.803043	75000	-0.016393	-1.443546
84	0.800853	75000	-0.016393	-1.459939
85	0.798667	75000	-0.016323	-1.476263
86	0.796484	75000	-0.016266	-1.492529
87	0.794305	75000	-0.016346	-1.508875
88	0.792129	75000	-0.016267	-1.525142
89	0.789957	75000	-0.016240	-1.541382
90	0.787789	75000	-0.016209	-1.557591
91	0.785624	75000	-0.016194	-1.573785
92	0.783463	75000	-0.016157	-1.589942
