Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.052997	0.052997
1	0.995007	75000	0.052987	0.105983
2	0.992517	75000	0.052859	0.158842
3	0.990030	75000	0.052775	0.211618
4	0.987547	75000	0.052660	0.264278
5	0.985067	75000	0.052610	0.316887
6	0.982592	75000	0.052463	0.369351
7	0.980120	75000	0.052341	0.421692
8	0.977652	75000	0.052332	0.474023
9	0.975187	75000	0.052233	0.526257
10	0.972726	75000	0.052096	0.578352
11	0.970269	75000	0.052056	0.630408
12	0.967816	75000	0.051900	0.682308
13	0.965367	75000	0.051857	0.734165
14	0.962921	75000	0.051845	0.786010
15	0.960479	75000	0.051741	0.837751
16	0.958040	75000	0.051649	0.889400
17	0.955606	75000	0.051580	0.940980
18	0.953175	75000	0.051458	0.992439
19	0.950747	75000	0.051362	1.043801
20	0.948324	75000	0.051348	1.095149
21	0.945904	75000	0.051199	1.146348
22	0.943488	75000	0.051114	1.197463
23	0.941076	75000	0.051002	1.248465
24	0.938667	75000	0.050996	1.299460
25	0.936262	75000	0.050857	1.350317
26	0.933861	75000	0.050738	1.401055
27	0.931463	75000	0.050735	1.451790
28	0.929069	75000	0.050660	1.502450
29	0.926679	75000	0.050605	1.553054
30	0.924293	75000	0.050409	1.603463
31	0.921910	75000	0.050413	1.653876
32	0.919531	75000	0.050228	1.704105
33	0.917155	75000	0.050197	1.754301
34	0.914783	75000	0.050099	1.804400
35	0.912415	75000	0.050045	1.854445
36	0.910051	75000	0.049941	1.904386
37	0.907690	75000	0.049778	1.954165
38	0.905333	75000	0.049823	2.003988
39	0.902980	75000	0.049694	2.053682
40	0.900630	75000	0.049596	2.103278
41	0.898284	75000	0.049489	2.152767
42	0.895942	75000	0.049440	2.202208
43	0.893603	75000	0.049351	2.251559
44	0.891268	75000	0.049294	2.300853
45	0.888937	75000	0.049190	2.350043
46	0.886609	75000	0.049130	2.399173
47	0.884285	75000	0.049051	2.448225
48	0.881965	75000	0.048949	2.497173
49	0.879648	75000	0.048845	2.546018
50	0.877335	75000	0.048756	2.594774
51	0.875026	75000	0.048644	2.643417
52	0.872720	75000	0.048631	2.692048
53	0.870418	75000	0.048495	2.740543
54	0.868120	75000	0.048422	2.788965
55	0.865825	75000	0.048326	2.837291
56	0.863534	75000	0.048291	2.885581
57	0.861246	75000	0.048195	2.933776
58	0.858962	75000	0.048014	2.981791
59	0.856682	75000	0.048034	3.029824
60	0.854405	75000	0.047895	3.077719
61	0.852132	75000	0.047826	3.125545
62	0.849863	75000	0.047687	3.173232
63	0.847597	75000	0.047646	3.220878
64	0.845335	75000	0.047616	3.268495
65	0.843077	75000	0.047508	3.316003
66	0.840822	75000	0.047416	3.363419
67	0.838571	75000	0.047348	3.410767
68	0.836323	75000	0.047256	3.458022
69	0.834079	75000	0.047168	3.505191
70	0.831839	75000	0.047090	3.552281
71	0.829602	75000	0.046926	3.599207
72	0.827369	75000	0.046919	3.646126
73	0.825140	75000	0.046923	3.693049
74	0.822914	75000	0.046721	3.739769
75	0.820691	75000	0.046615	3.786385
76	0.818473	75000	0.046598	3.832983
77	0.816258	75000	0.046545	3.879528
