Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.301115	-0.301115
1	0.995007	75000	-0.300606	-0.601721
2	0.992517	75000	-0.300293	-0.902014
3	0.990030	75000	-0.299772	-1.201787
4	0.987547	75000	-0.299302	-1.501089
5	0.985067	75000	-0.298934	-1.800023
6	0.982592	75000	-0.298393	-2.098416
7	0.980120	75000	-0.298008	-2.396424
8	0.977652	75000	-0.297574	-2.693999
9	0.975187	75000	-0.297180	-2.991179
10	0.972726	75000	-0.296645	-3.287824
11	0.970269	75000	-0.296246	-3.584070
12	0.967816	75000	-0.295831	-3.879901
13	0.965367	75000	-0.295350	-4.175251
14	0.962921	75000	-0.294855	-4.470105
15	0.960479	75000	-0.294426	-4.764531
16	0.958040	75000	-0.294064	-5.058595
17	0.955606	75000	-0.293575	-5.352170
18	0.953175	75000	-0.293135	-5.645305
19	0.950747	75000	-0.292761	-5.938066
20	0.948324	75000	-0.292273	-6.230339
21	0.945904	75000	-0.291848	-6.522187
22	0.943488	75000	-0.291381	-6.813568
23	0.941076	75000	-0.290962	-7.104530
24	0.938667	75000	-0.290557	-7.395087
25	0.936262	75000	-0.290074	-7.685161
26	0.933861	75000	-0.289625	-7.974786
27	0.931463	75000	-0.289145	-8.263931
28	0.929069	75000	-0.288746	-8.552678
29	0.926679	75000	-0.288294	-8.840972
30	0.924293	75000	-0.287832	-9.128804
31	0.921910	75000	-0.287455	-9.416259
32	0.919531	75000	-0.287062	-9.703320
33	0.917155	75000	-0.286554	-9.989874
34	0.914783	75000	-0.286038	-10.275913
35	0.912415	75000	-0.285658	-10.561571
36	0.910051	75000	-0.285204	-10.846775
37	0.907690	75000	-0.284826	-11.131601
38	0.905333	75000	-0.284360	-11.415961
39	0.902980	75000	-0.283943	-11.699904
40	0.900630	75000	-0.283541	-11.983445
41	0.898284	75000	-0.283026	-12.266471
42	0.895942	75000	-0.282621	-12.549092
43	0.893603	75000	-0.282196	-12.831288
44	0.891268	75000	-0.281768	-13.113055
45	0.888937	75000	-0.281301	-13.394356
46	0.886609	75000	-0.280908	-13.675264
47	0.884285	75000	-0.280435	-13.955699
48	0.881965	75000	-0.279998	-14.235697
49	0.879648	75000	-0.279566	-14.515262
50	0.877335	75000	-0.279112	-14.794374
51	0.875026	75000	-0.278671	-15.073045
52	0.872720	75000	-0.278272	-15.351317
53	0.870418	75000	-0.277855	-15.629172
54	0.868120	75000	-0.277401	-15.906573
55	0.865825	75000	-0.276940	-16.183513
56	0.863534	75000	-0.276577	-16.460090
57	0.861246	75000	-0.276124	-16.736213
58	0.858962	75000	-0.275706	-17.011919
59	0.856682	75000	-0.275334	-17.287254
60	0.854405	75000	-0.274849	-17.562103
61	0.852132	75000	-0.274399	-17.836501
62	0.849863	75000	-0.273973	-18.110474
63	0.847597	75000	-0.273470	-18.383944
64	0.845335	75000	-0.273051	-18.656995
65	0.843077	75000	-0.272649	-18.929644
66	0.840822	75000	-0.272159	-19.201802
67	0.838571	75000	-0.271818	-19.473621
68	0.836323	75000	-0.271420	-19.745041
69	0.834079	75000	-0.271023	-20.016064
70	0.831839	75000	-0.270540	-20.286603
71	0.829602	75000	-0.270117	-20.556720
72	0.827369	75000	-0.269624	-20.826344
73	0.825140	75000	-0.269198	-21.095541
74	0.822914	75000	-0.268814	-21.364355
75	0.820691	75000	-0.268350	-21.632705
76	0.818473	75000	-0.267916	-21.900620
77	0.816258	75000	-0.267482	-22.168103
78	0.814046	75000	-0.267080	-22.435182
79	0.811838	75000	-0.266626	-22.701808
80	0.809634	75000	-0.266154	-22.967963
81	0.807433	75000	-0.265820	-23.233782
82	0.805236	75000	-0.265397	-23.499179
83	0.803043	75000	-0.264887	-23.764067
84	0.800853	75000	-0.264543	-24.028609
85	0.798667	75000	-0.264184	-24.292793
86	0.796484	75000	-0.263673	-24.556466
87	0.794305	75000	-0.263191	-24.819657
88	0.792129	75000	-0.262863	-25.082521
89	0.789957	75000	-0.262385	-25.344906
90	0.787789	75000	-0.261944	-25.606850
91	0.785624	75000	-0.261523	-25.868373
92	0.783463	75000	-0.261156	-26.129529
93	0.781305	75000	-0.260717	-26.390246
94	0.779151	75000	-0.260312	-26.650558
95	0.777000	75000	-0.259818	-26.910376
96	0.774853	75000	-0.259395	-27.169771
97	0.772710	75000	-0.258998	-27.428769
98	0.770570	75000	-0.258532	-27.687301
99	0.768433	75000	-0.258176	-27.945476
100	0.766301	75000	-0.257694	-28.203170
101	0.764172	75000	-0.257307	-28.460477
102	0.762046	75000	-0.256917	-28.717394
103	0.759924	75000	-0.256385	-28.973779
104	0.757805	75000	-0.256081	-29.229861
105	0.755690	75000	-0.255620	-29.485480
106	0.753579	75000	-0.255150	-29.740631
107	0.751471	75000	-0.254732	-29.995363
108	0.749366	75000	-0.254371	-30.249734
109	0.747266	75000	-0.253994	-30.503728
110	0.745168	75000	-0.253539	-30.757268
111	0.743075	75000	-0.253107	-31.010375
112	0.740984	75000	-0.252622	-31.262997
113	0.738898	75000	-0.252320	-31.515317
114	0.736815	75000	-0.251923	-31.767240
115	0.734735	75000	-0.251443	-32.018683
116	0.732659	75000	-0.251002	-32.269685
117	0.730586	75000	-0.250560	-32.520246
118	0.728517	75000	-0.250225	-32.770470
119	0.726452	75000	-0.249770	-33.020240
120	0.724390	75000	-0.249391	-33.269631
121	0.722331	75000	-0.248888	-33.518519
122	0.720276	75000	-0.248576	-33.767095
123	0.718225	75000	-0.248146	-34.015240
124	0.716177	75000	-0.247751	-34.262991
125	0.714132	75000	-0.247192	-34.510183
126	0.712091	75000	-0.246879	-34.757062
127	0.710054	75000	-0.246386	-35.003448
128	0.708020	75000	-0.246014	-35.249461
129	0.705989	75000	-0.245661	-35.495122
130	0.703962	75000	-0.245191	-35.740313
131	0.701939	75000	-0.244674	-35.984987
132	0.699919	75000	-0.244355	-36.229342
133	0.697902	75000	-0.244002	-36.473344
134	0.695889	75000	-0.243541	-36.716885
135	0.693880	75000	-0.243175	-36.960060
136	0.691874	75000	-0.242673	-37.202733
137	0.689871	75000	-0.242355	-37.445088
138	0.687872	75000	-0.241944	-37.687032
139	0.685877	75000	-0.241413	-37.928445
140	0.683885	75000	-0.241114	-38.169559
141	0.681896	75000	-0.240656	-38.410215
142	0.679911	75000	-0.240210	-38.650425
143	0.677929	75000	-0.239859	-38.890284
144	0.675951	75000	-0.239406	-39.129690
145	0.673976	75000	-0.239042	-39.368732
146	0.672005	75000	-0.238601	-39.607333
147	0.670037	75000	-0.238161	-39.845494
