Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.233972	-0.233972
1	0.995007	75000	-0.233596	-0.467568
2	0.992517	75000	-0.233288	-0.700855
3	0.990030	75000	-0.232911	-0.933766
4	0.987547	75000	-0.232597	-1.166362
5	0.985067	75000	-0.232286	-1.398648
6	0.982592	75000	-0.231979	-1.630627
7	0.980120	75000	-0.231529	-1.862156
8	0.977652	75000	-0.231255	-2.093411
9	0.975187	75000	-0.230826	-2.324236
10	0.972726	75000	-0.230511	-2.554748
11	0.970269	75000	-0.230222	-2.784970
12	0.967816	75000	-0.229867	-3.014837
13	0.965367	75000	-0.229470	-3.244306
14	0.962921	75000	-0.229130	-3.473436
15	0.960479	75000	-0.228789	-3.702225
16	0.958040	75000	-0.228502	-3.930727
17	0.955606	75000	-0.228179	-4.158906
18	0.953175	75000	-0.227797	-4.386703
19	0.950747	75000	-0.227474	-4.614177
20	0.948324	75000	-0.227087	-4.841263
21	0.945904	75000	-0.226785	-5.068048
22	0.943488	75000	-0.226374	-5.294422
23	0.941076	75000	-0.226040	-5.520462
24	0.938667	75000	-0.225699	-5.746161
25	0.936262	75000	-0.225433	-5.971594
26	0.933861	75000	-0.225063	-6.196657
27	0.931463	75000	-0.224675	-6.421332
28	0.929069	75000	-0.224357	-6.645689
29	0.926679	75000	-0.224056	-6.869745
30	0.924293	75000	-0.223572	-7.093317
31	0.921910	75000	-0.223400	-7.316717
32	0.919531	75000	-0.222991	-7.539708
33	0.917155	75000	-0.222666	-7.762373
34	0.914783	75000	-0.222312	-7.984685
35	0.912415	75000	-0.222048	-8.206733
36	0.910051	75000	-0.221667	-8.428400
37	0.907690	75000	-0.221301	-8.649702
38	0.905333	75000	-0.220968	-8.870670
39	0.902980	75000	-0.220672	-9.091342
40	0.900630	75000	-0.220277	-9.311619
41	0.898284	75000	-0.220025	-9.531645
42	0.895942	75000	-0.219649	-9.751294
43	0.893603	75000	-0.219325	-9.970619
44	0.891268	75000	-0.218953	-10.189572
45	0.888937	75000	-0.218578	-10.408150
46	0.886609	75000	-0.218268	-10.626418
47	0.884285	75000	-0.217983	-10.844401
48	0.881965	75000	-0.217654	-11.062056
49	0.879648	75000	-0.217290	-11.279346
50	0.877335	75000	-0.216912	-11.496258
51	0.875026	75000	-0.216663	-11.712921
52	0.872720	75000	-0.216246	-11.929167
53	0.870418	75000	-0.215953	-12.145120
54	0.868120	75000	-0.215588	-12.360708
55	0.865825	75000	-0.215316	-12.576024
56	0.863534	75000	-0.214935	-12.790959
57	0.861246	75000	-0.214604	-13.005563
58	0.858962	75000	-0.214269	-13.219833
59	0.856682	75000	-0.213941	-13.433774
60	0.854405	75000	-0.213622	-13.647395
61	0.852132	75000	-0.213277	-13.860672
62	0.849863	75000	-0.212924	-14.073596
63	0.847597	75000	-0.212632	-14.286228
64	0.845335	75000	-0.212252	-14.498480
65	0.843077	75000	-0.211961	-14.710441
66	0.840822	75000	-0.211576	-14.922017
67	0.838571	75000	-0.211312	-15.133329
68	0.836323	75000	-0.210935	-15.344264
69	0.834079	75000	-0.210595	-15.554859
70	0.831839	75000	-0.210275	-15.765134
71	0.829602	75000	-0.209919	-15.975053
72	0.827369	75000	-0.209616	-16.184668
73	0.825140	75000	-0.209269	-16.393937
74	0.822914	75000	-0.208991	-16.602928
75	0.820691	75000	-0.208606	-16.811534
76	0.818473	75000	-0.208375	-17.019909
77	0.816258	75000	-0.207969	-17.227878
78	0.814046	75000	-0.207634	-17.435512
79	0.811838	75000	-0.207278	-17.642790
80	0.809634	75000	-0.207017	-17.849807
81	0.807433	75000	-0.206678	-18.056485
82	0.805236	75000	-0.206286	-18.262771
83	0.803043	75000	-0.206034	-18.468805
84	0.800853	75000	-0.205633	-18.674438
85	0.798667	75000	-0.205321	-18.879759
86	0.796484	75000	-0.205002	-19.084761
87	0.794305	75000	-0.204677	-19.289438
88	0.792129	75000	-0.204324	-19.493762
89	0.789957	75000	-0.204041	-19.697803
90	0.787789	75000	-0.203703	-19.901506
91	0.785624	75000	-0.203386	-20.104891
92	0.783463	75000	-0.203036	-20.307928
93	0.781305	75000	-0.202725	-20.510653
94	0.779151	75000	-0.202419	-20.713072
95	0.777000	75000	-0.201964	-20.915036
96	0.774853	75000	-0.201714	-21.116750
97	0.772710	75000	-0.201417	-21.318167
98	0.770570	75000	-0.200992	-21.519159
99	0.768433	75000	-0.200759	-21.719918
100	0.766301	75000	-0.200447	-21.920364
101	0.764172	75000	-0.200103	-22.120467
102	0.762046	75000	-0.199753	-22.320220
103	0.759924	75000	-0.199508	-22.519728
104	0.757805	75000	-0.199080	-22.718808
105	0.755690	75000	-0.198739	-22.917547
106	0.753579	75000	-0.198507	-23.116054
107	0.751471	75000	-0.198119	-23.314173
108	0.749366	75000	-0.197772	-23.511945
109	0.747266	75000	-0.197470	-23.709415
110	0.745168	75000	-0.197072	-23.906487
111	0.743075	75000	-0.196844	-24.103331
112	0.740984	75000	-0.196427	-24.299758
113	0.738898	75000	-0.196133	-24.495890
114	0.736815	75000	-0.195833	-24.691723
115	0.734735	75000	-0.195501	-24.887224
116	0.732659	75000	-0.195268	-25.082492
117	0.730586	75000	-0.194861	-25.277353
118	0.728517	75000	-0.194541	-25.471894
119	0.726452	75000	-0.194128	-25.666022
120	0.724390	75000	-0.193951	-25.859973
121	0.722331	75000	-0.193643	-26.053616
122	0.720276	75000	-0.193296	-26.246911
123	0.718225	75000	-0.192962	-26.439873
124	0.716177	75000	-0.192603	-26.632476
125	0.714132	75000	-0.192278	-26.824754
126	0.712091	75000	-0.192008	-27.016762
127	0.710054	75000	-0.191668	-27.208430
128	0.708020	75000	-0.191314	-27.399744
129	0.705989	75000	-0.190984	-27.590727
130	0.703962	75000	-0.190644	-27.781371
131	0.701939	75000	-0.190357	-27.971728
132	0.699919	75000	-0.190078	-28.161806
133	0.697902	75000	-0.189737	-28.351543
134	0.695889	75000	-0.189423	-28.540966
135	0.693880	75000	-0.189173	-28.730139
136	0.691874	75000	-0.188799	-28.918937
137	0.689871	75000	-0.188522	-29.107460
138	0.687872	75000	-0.188132	-29.295592
139	0.685877	75000	-0.187838	-29.483430
140	0.683885	75000	-0.187496	-29.670925
141	0.681896	75000	-0.187271	-29.858197
142	0.679911	75000	-0.186874	-30.045070
143	0.677929	75000	-0.186559	-30.231629
144	0.675951	75000	-0.186272	-30.417901
145	0.673976	75000	-0.185851	-30.603751
146	0.672005	75000	-0.185542	-30.789294
147	0.670037	75000	-0.185297	-30.974590
148	0.668073	75000	-0.184947	-31.159538
149	0.666112	75000	-0.184618	-31.344155
150	0.664155	75000	-0.184394	-31.528550
151	0.662201	75000	-0.184044	-31.712594
152	0.660250	75000	-0.183678	-31.896272
153	0.658303	75000	-0.183375	-32.079647
154	0.656359	75000	-0.183068	-32.262716
155	0.654419	75000	-0.182735	-32.445450
156	0.652483	75000	-0.182478	-32.627928
157	0.650549	75000	-0.182128	-32.810056
