Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.254288	0.254288
1	0.995007	75000	0.253932	0.508220
2	0.992517	75000	0.253562	0.761781
3	0.990030	75000	0.253247	1.015029
4	0.987547	75000	0.252762	1.267791
5	0.985067	75000	0.252444	1.520235
6	0.982592	75000	0.252035	1.772269
7	0.980120	75000	0.251640	2.023910
8	0.977652	75000	0.251269	2.275179
9	0.975187	75000	0.250886	2.526065
10	0.972726	75000	0.250466	2.776531
11	0.970269	75000	0.250128	3.026659
12	0.967816	75000	0.249667	3.276326
13	0.965367	75000	0.249338	3.525664
14	0.962921	75000	0.248940	3.774605
15	0.960479	75000	0.248503	4.023108
16	0.958040	75000	0.248165	4.271273
17	0.955606	75000	0.247743	4.519017
18	0.953175	75000	0.247392	4.766408
19	0.950747	75000	0.247061	5.013470
20	0.948324	75000	0.246589	5.260059
21	0.945904	75000	0.246247	5.506305
22	0.943488	75000	0.245869	5.752174
23	0.941076	75000	0.245482	5.997656
24	0.938667	75000	0.245130	6.242786
25	0.936262	75000	0.244740	6.487526
26	0.933861	75000	0.244335	6.731862
27	0.931463	75000	0.243927	6.975789
28	0.929069	75000	0.243597	7.219386
29	0.926679	75000	0.243140	7.462526
30	0.924293	75000	0.242828	7.705354
31	0.921910	75000	0.242363	7.947717
32	0.919531	75000	0.242006	8.189723
33	0.917155	75000	0.241659	8.431381
34	0.914783	75000	0.241322	8.672704
35	0.912415	75000	0.240869	8.913572
36	0.910051	75000	0.240487	9.154060
37	0.907690	75000	0.240161	9.394221
38	0.905333	75000	0.239701	9.633922
39	0.902980	75000	0.239377	9.873299
40	0.900630	75000	0.238994	10.112292
41	0.898284	75000	0.238559	10.350851
42	0.895942	75000	0.238254	10.589106
43	0.893603	75000	0.237809	10.826914
44	0.891268	75000	0.237461	11.064375
45	0.888937	75000	0.237078	11.301452
46	0.886609	75000	0.236685	11.538137
