Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.120596	0.120596
1	0.995007	75000	0.120425	0.241021
2	0.992517	75000	0.120219	0.361240
3	0.990030	75000	0.120023	0.481263
4	0.987547	75000	0.119897	0.601160
5	0.985067	75000	0.119719	0.720879
6	0.982592	75000	0.119462	0.840342
7	0.980120	75000	0.119300	0.959642
8	0.977652	75000	0.119103	1.078745
9	0.975187	75000	0.118915	1.197660
10	0.972726	75000	0.118751	1.316411
11	0.970269	75000	0.118495	1.434906
12	0.967816	75000	0.118341	1.553247
13	0.965367	75000	0.118131	1.671378
14	0.962921	75000	0.117971	1.789349
15	0.960479	75000	0.117831	1.907180
16	0.958040	75000	0.117647	2.024827
17	0.955606	75000	0.117470	2.142297
18	0.953175	75000	0.117218	2.259515
19	0.950747	75000	0.117121	2.376636
20	0.948324	75000	0.116825	2.493461
21	0.945904	75000	0.116668	2.610129
22	0.943488	75000	0.116506	2.726635
23	0.941076	75000	0.116256	2.842891
24	0.938667	75000	0.116145	2.959036
25	0.936262	75000	0.115939	3.074975
26	0.933861	75000	0.115745	3.190720
27	0.931463	75000	0.115560	3.306280
28	0.929069	75000	0.115378	3.421658
29	0.926679	75000	0.115169	3.536827
30	0.924293	75000	0.115000	3.651827
31	0.921910	75000	0.114760	3.766588
32	0.919531	75000	0.114617	3.881205
33	0.917155	75000	0.114451	3.995656
34	0.914783	75000	0.114269	4.109925
35	0.912415	75000	0.114108	4.224034
36	0.910051	75000	0.113870	4.337904
37	0.907690	75000	0.113741	4.451645
38	0.905333	75000	0.113562	4.565207
39	0.902980	75000	0.113378	4.678585
40	0.900630	75000	0.113199	4.791784
41	0.898284	75000	0.113014	4.904798
42	0.895942	75000	0.112789	5.017587
43	0.893603	75000	0.112578	5.130165
44	0.891268	75000	0.112432	5.242596
45	0.888937	75000	0.112218	5.354814
46	0.886609	75000	0.112038	5.466852
47	0.884285	75000	0.111937	5.578788
48	0.881965	75000	0.111753	5.690541
49	0.879648	75000	0.111514	5.802055
50	0.877335	75000	0.111370	5.913425
51	0.875026	75000	0.111151	6.024576
52	0.872720	75000	0.110951	6.135527
53	0.870418	75000	0.110827	6.246354
54	0.868120	75000	0.110642	6.356997
55	0.865825	75000	0.110411	6.467407
56	0.863534	75000	0.110257	6.577665
57	0.861246	75000	0.110039	6.687704
58	0.858962	75000	0.109825	6.797529
59	0.856682	75000	0.109659	6.907188
60	0.854405	75000	0.109545	7.016733
61	0.852132	75000	0.109294	7.126027
62	0.849863	75000	0.109114	7.235141
63	0.847597	75000	0.109007	7.344148
64	0.845335	75000	0.108759	7.452907
65	0.843077	75000	0.108628	7.561535
66	0.840822	75000	0.108437	7.669972
67	0.838571	75000	0.108229	7.778201
68	0.836323	75000	0.108145	7.886346
69	0.834079	75000	0.107856	7.994202
70	0.831839	75000	0.107661	8.101863
71	0.829602	75000	0.107491	8.209354
72	0.827369	75000	0.107315	8.316670
73	0.825140	75000	0.107094	8.423764
74	0.822914	75000	0.106965	8.530729
75	0.820691	75000	0.106772	8.637501
76	0.818473	75000	0.106677	8.744178
77	0.816258	75000	0.106421	8.850599
78	0.814046	75000	0.106167	8.956766
79	0.811838	75000	0.106038	9.062804
80	0.809634	75000	0.105939	9.168744
81	0.807433	75000	0.105727	9.274471
82	0.805236	75000	0.105512	9.379983
83	0.803043	75000	0.105390	9.485372
84	0.800853	75000	0.105199	9.590572
85	0.798667	75000	0.104982	9.695553
86	0.796484	75000	0.104840	9.800393
87	0.794305	75000	0.104623	9.905016
88	0.792129	75000	0.104474	10.009490
89	0.789957	75000	0.104245	10.113735
90	0.787789	75000	0.104078	10.217813
91	0.785624	75000	0.103917	10.321730
92	0.783463	75000	0.103642	10.425372
93	0.781305	75000	0.103575	10.528947
94	0.779151	75000	0.103383	10.632329
95	0.777000	75000	0.103206	10.735535
96	0.774853	75000	0.103074	10.838609
97	0.772710	75000	0.102802	10.941411
98	0.770570	75000	0.102716	11.044127
99	0.768433	75000	0.102475	11.146602
100	0.766301	75000	0.102289	11.248891
101	0.764172	75000	0.102122	11.351013
102	0.762046	75000	0.101925	11.452937
103	0.759924	75000	0.101726	11.554664
104	0.757805	75000	0.101647	11.656311
105	0.755690	75000	0.101399	11.757711
106	0.753579	75000	0.101230	11.858941
107	0.751471	75000	0.101051	11.959992
108	0.749366	75000	0.100901	12.060893
109	0.747266	75000	0.100701	12.161594
110	0.745168	75000	0.100475	12.262069
111	0.743075	75000	0.100357	12.362426
112	0.740984	75000	0.100117	12.462543
113	0.738898	75000	0.100004	12.562547
114	0.736815	75000	0.099860	12.662407
115	0.734735	75000	0.099633	12.762040
116	0.732659	75000	0.099423	12.861463
117	0.730586	75000	0.099287	12.960750
118	0.728517	75000	0.099072	13.059822
119	0.726452	75000	0.098909	13.158731
120	0.724390	75000	0.098750	13.257482
121	0.722331	75000	0.098585	13.356066
122	0.720276	75000	0.098382	13.454449
123	0.718225	75000	0.098259	13.552708
124	0.716177	75000	0.098035	13.650742
125	0.714132	75000	0.097973	13.748716
126	0.712091	75000	0.097681	13.846397
127	0.710054	75000	0.097509	13.943905
128	0.708020	75000	0.097297	14.041203
129	0.705989	75000	0.097185	14.138387
130	0.703962	75000	0.097038	14.235425
131	0.701939	75000	0.096869	14.332295
132	0.699919	75000	0.096605	14.428900
133	0.697902	75000	0.096436	14.525336
134	0.695889	75000	0.096271	14.621607
135	0.693880	75000	0.096073	14.717680
136	0.691874	75000	0.095928	14.813609
137	0.689871	75000	0.095768	14.909377
138	0.687872	75000	0.095596	15.004972
139	0.685877	75000	0.095430	15.100402
140	0.683885	75000	0.095258	15.195660
141	0.681896	75000	0.095117	15.290777
142	0.679911	75000	0.094854	15.385631
143	0.677929	75000	0.094678	15.480309
144	0.675951	75000	0.094540	15.574848
145	0.673976	75000	0.094413	15.669261
146	0.672005	75000	0.094174	15.763435
147	0.670037	75000	0.094081	15.857516
148	0.668073	75000	0.093885	15.951401
149	0.666112	75000	0.093660	16.045061
150	0.664155	75000	0.093502	16.138563
151	0.662201	75000	0.093295	16.231858
152	0.660250	75000	0.093076	16.324935
153	0.658303	75000	0.092900	16.417835
154	0.656359	75000	0.092789	16.510623
155	0.654419	75000	0.092595	16.603218
156	0.652483	75000	0.092342	16.695561
157	0.650549	75000	0.092345	16.787906
158	0.648619	75000	0.092205	16.880110
159	0.646693	75000	0.091963	16.972074
160	0.644770	75000	0.091831	17.063904
161	0.642851	75000	0.091464	17.155369
162	0.640934	75000	0.091396	17.246765
163	0.639022	75000	0.091243	17.338008
164	0.637113	75000	0.091022	17.429030
165	0.635207	75000	0.090903	17.519933
166	0.633304	75000	0.090637	17.610570
167	0.631405	75000	0.090582	17.701152
168	0.629510	75000	0.090349	17.791501
169	0.627618	75000	0.090216	17.881717
170	0.625729	75000	0.090090	17.971807
171	0.623844	75000	0.089935	18.061742
172	0.621962	75000	0.089746	18.151487
173	0.620083	75000	0.089460	18.240948
174	0.618208	75000	0.089329	18.330277
175	0.616337	75000	0.089134	18.419411
176	0.614468	75000	0.088988	18.508399
177	0.612604	75000	0.088820	18.597219
178	0.610742	75000	0.088664	18.685882
179	0.608884	75000	0.088503	18.774386
180	0.607029	75000	0.088293	18.862679
181	0.605178	75000	0.088245	18.950924
182	0.603330	75000	0.087957	19.038881
183	0.601486	75000	0.087862	19.126744
184	0.599645	75000	0.087615	19.214359
185	0.597807	75000	0.087492	19.301852
186	0.595973	75000	0.087312	19.389164
187	0.594142	75000	0.087092	19.476256
188	0.592314	75000	0.086979	19.563234
189	0.590490	75000	0.086787	19.650021
190	0.588669	75000	0.086619	19.736640
191	0.586852	75000	0.086435	19.823075
192	0.585038	75000	0.086279	19.909354
193	0.583227	75000	0.086117	19.995471
194	0.581420	75000	0.085855	20.081326
195	0.579616	75000	0.085793	20.167119
196	0.577815	75000	0.085603	20.252722
197	0.576018	75000	0.085433	20.338155
198	0.574224	75000	0.085227	20.423382
199	0.572433	75000	0.085015	20.508397
200	0.570646	75000	0.084907	20.593304
201	0.568862	75000	0.084725	20.678029
202	0.567082	75000	0.084627	20.762656
203	0.565305	75000	0.084384	20.847040
204	0.563531	75000	0.084219	20.931258
205	0.561761	75000	0.084067	21.015325
206	0.559993	75000	0.083908	21.099234
207	0.558230	75000	0.083742	21.182975
208	0.556469	75000	0.083528	21.266504
209	0.554712	75000	0.083415	21.349919
210	0.552958	75000	0.083206	21.433125
211	0.551208	75000	0.083004	21.516129
212	0.549461	75000	0.082873	21.599002
213	0.547717	75000	0.082687	21.681689
214	0.545977	75000	0.082538	21.764227
215	0.544240	75000	0.082296	21.846523
216	0.542506	75000	0.082167	21.928690
217	0.540775	75000	0.081984	22.010674
218	0.539048	75000	0.081826	22.092500
219	0.537324	75000	0.081657	22.174157
220	0.535604	75000	0.081494	22.255651
221	0.533887	75000	0.081384	22.337035
222	0.532173	75000	0.081248	22.418283
223	0.530462	75000	0.081107	22.499390
224	0.528755	75000	0.080832	22.580222
225	0.527051	75000	0.080671	22.660893
226	0.525350	75000	0.080560	22.741453
227	0.523653	75000	0.080307	22.821760
228	0.521958	75000	0.080214	22.901974
229	0.520268	75000	0.080059	22.982033
230	0.518580	75000	0.079827	23.061860
231	0.516896	75000	0.079806	23.141665
232	0.515215	75000	0.079518	23.221183
233	0.513537	75000	0.079425	23.300608
234	0.511863	75000	0.079209	23.379817
235	0.510192	75000	0.079053	23.458871
236	0.508524	75000	0.078830	23.537700
237	0.506859	75000	0.078773	23.616473
238	0.505198	75000	0.078599	23.695072
239	0.503540	75000	0.078368	23.773439
240	0.501885	75000	0.078211	23.851650
241	0.500234	75000	0.078083	23.929733
242	0.498586	75000	0.077867	24.007601
243	0.496941	75000	0.077807	24.085408
244	0.495299	75000	0.077534	24.162942
245	0.493660	75000	0.077374	24.240315
246	0.492025	75000	0.077170	24.317485
247	0.490393	75000	0.077088	24.394573
248	0.488765	75000	0.076868	24.471441
249	0.487139	75000	0.076802	24.548243
250	0.485517	75000	0.076537	24.624781
251	0.483898	75000	0.076410	24.701191
252	0.482283	75000	0.076252	24.777443
253	0.480670	75000	0.076115	24.853559
254	0.479061	75000	0.075928	24.929487
255	0.477455	75000	0.075725	25.005211
256	0.475852	75000	0.075625	25.080836
257	0.474253	75000	0.075384	25.156220
258	0.472656	75000	0.075220	25.231440
259	0.471063	75000	0.075154	25.306594
260	0.469474	75000	0.074968	25.381562
261	0.467887	75000	0.074696	25.456258
262	0.466304	75000	0.074617	25.530875
263	0.464723	75000	0.074457	25.605333
264	0.463146	75000	0.074298	25.679631
265	0.461573	75000	0.074098	25.753729
266	0.460002	75000	0.073920	25.827649
267	0.458435	75000	0.073697	25.901346
268	0.456871	75000	0.073644	25.974990
269	0.455310	75000	0.073416	26.048406
270	0.453752	75000	0.073327	26.121733
271	0.452198	75000	0.073102	26.194836
272	0.450647	75000	0.072938	26.267774
273	0.449098	75000	0.072765	26.340539
274	0.447554	75000	0.072623	26.413162
275	0.446012	75000	0.072438	26.485600
276	0.444473	75000	0.072323	26.557923
277	0.442938	75000	0.072183	26.630106
278	0.441406	75000	0.071992	26.702098
279	0.439877	75000	0.071723	26.773820
280	0.438351	75000	0.071691	26.845511
281	0.436829	75000	0.071499	26.917011
282	0.435309	75000	0.071315	26.988326
283	0.433793	75000	0.071225	27.059550
284	0.432280	75000	0.071033	27.130583
285	0.430770	75000	0.070854	27.201437
286	0.429263	75000	0.070751	27.272188
287	0.427760	75000	0.070507	27.342696
288	0.426259	75000	0.070373	27.413069
289	0.424762	75000	0.070206	27.483274
290	0.423268	75000	0.069976	27.553251
291	0.421777	75000	0.069990	27.623240
292	0.420289	75000	0.069819	27.693059
293	0.418805	75000	0.069599	27.762658
294	0.417323	75000	0.069399	27.832057
295	0.415845	75000	0.069235	27.901292
296	0.414370	75000	0.069085	27.970377
297	0.412898	75000	0.068928	28.039305
298	0.411429	75000	0.068785	28.108090
299	0.409963	75000	0.068640	28.176730
300	0.408501	75000	0.068410	28.245140
301	0.407041	75000	0.068295	28.313435
302	0.405585	75000	0.068115	28.381550
303	0.404132	75000	0.067916	28.449465
304	0.402682	75000	0.067806	28.517272
305	0.401235	75000	0.067556	28.584827
306	0.399791	75000	0.067407	28.652234
307	0.398350	75000	0.067341	28.719575
308	0.396913	75000	0.067187	28.786763
309	0.395478	75000	0.067083	28.853845
310	0.394047	75000	0.066860	28.920705
311	0.392619	75000	0.066729	28.987434
312	0.391194	75000	0.066500	29.053934
313	0.389772	75000	0.066346	29.120279
314	0.388353	75000	0.066184	29.186464
315	0.386937	75000	0.066037	29.252501
316	0.385524	75000	0.065861	29.318362
317	0.384115	75000	0.065740	29.384102
318	0.382708	75000	0.065564	29.449667
319	0.381305	75000	0.065466	29.515133
320	0.379904	75000	0.065247	29.580380
321	0.378507	75000	0.065133	29.645513
322	0.377113	75000	0.064908	29.710421
323	0.375722	75000	0.064774	29.775195
324	0.374334	75000	0.064650	29.839845
325	0.372949	75000	0.064526	29.904371
326	0.371567	75000	0.064265	29.968636
327	0.370189	75000	0.064210	30.032846
328	0.368813	75000	0.063958	30.096804
329	0.367440	75000	0.063846	30.160650
330	0.366071	75000	0.063700	30.224351
331	0.364705	75000	0.063487	30.287837
332	0.363341	75000	0.063343	30.351181
333	0.361981	75000	0.063244	30.414425
334	0.360624	75000	0.063120	30.477545
335	0.359269	75000	0.062864	30.540409
336	0.357918	75000	0.062743	30.603151
337	0.356570	75000	0.062541	30.665693
338	0.355225	75000	0.062478	30.728170
339	0.353883	75000	0.062294	30.790465
340	0.352544	75000	0.062105	30.852570
341	0.351208	75000	0.062051	30.914621
342	0.349875	75000	0.061715	30.976336
343	0.348546	75000	0.061594	31.037930
344	0.347219	75000	0.061552	31.099482
345	0.345895	75000	0.061370	31.160852
346	0.344574	75000	0.061146	31.221998
347	0.343257	75000	0.060957	31.282955
348	0.341942	75000	0.060918	31.343873
349	0.340630	75000	0.060686	31.404559
350	0.339322	75000	0.060506	31.465065
351	0.338016	75000	0.060412	31.525477
352	0.336714	75000	0.060209	31.585686
353	0.335414	75000	0.060086	31.645772
354	0.334118	75000	0.060020	31.705792
355	0.332824	75000	0.059775	31.765566
356	0.331534	75000	0.059627	31.825194
357	0.330246	75000	0.059527	31.884720
358	0.328962	75000	0.059372	31.944092
359	0.327680	75000	0.059116	32.003207
360	0.326401	75000	0.059045	32.062252
361	0.325126	75000	0.058834	32.121086
362	0.323853	75000	0.058725	32.179811
363	0.322584	75000	0.058563	32.238374
364	0.321317	75000	0.058355	32.296729
365	0.320054	75000	0.058333	32.355062
366	0.318793	75000	0.058039	32.413102
367	0.317536	75000	0.057907	32.471009
368	0.316281	75000	0.057741	32.528750
369	0.315030	75000	0.057631	32.586381
370	0.313781	75000	0.057491	32.643872
371	0.312535	75000	0.057323	32.701195
372	0.311293	75000	0.057133	32.758328
373	0.310053	75000	0.057113	32.815441
374	0.308816	75000	0.056905	32.872346
375	0.307582	75000	0.056653	32.928999
376	0.306352	75000	0.056534	32.985533
377	0.305124	75000	0.056441	33.041973
378	0.303899	75000	0.056339	33.098312
379	0.302677	75000	0.056100	33.154412
380	0.301458	75000	0.055982	33.210394
381	0.300242	75000	0.055812	33.266205
382	0.299029	75000	0.055650	33.321855
383	0.297819	75000	0.055496	33.377351
384	0.296611	75000	0.055360	33.432712
385	0.295407	75000	0.055243	33.487955
386	0.294206	75000	0.055039	33.542994
387	0.293007	75000	0.054971	33.597964
388	0.291812	75000	0.054816	33.652780
389	0.290619	75000	0.054548	33.707328
390	0.289430	75000	0.054474	33.761802
391	0.288243	75000	0.054212	33.816014
392	0.287059	75000	0.054119	33.870133
393	0.285879	75000	0.053996	33.924129
394	0.284701	75000	0.053871	33.978000
395	0.283526	75000	0.053770	34.031770
396	0.282354	75000	0.053446	34.085216
397	0.281184	75000	0.053364	34.138580
398	0.280018	75000	0.053107	34.191687
399	0.278855	75000	0.053109	34.244796
400	0.277694	75000	0.052917	34.297713
401	0.276537	75000	0.052803	34.350515
402	0.275382	75000	0.052617	34.403133
403	0.274230	75000	0.052433	34.455565
404	0.273082	75000	0.052390	34.507955
405	0.271936	75000	0.052150	34.560105
406	0.270793	75000	0.051982	34.612087
407	0.269652	75000	0.051835	34.663922
408	0.268515	75000	0.051656	34.715578
409	0.267381	75000	0.051558	34.767136
410	0.266249	75000	0.051491	34.818627
411	0.265121	75000	0.051289	34.869916
412	0.263995	75000	0.051132	34.921048
413	0.262872	75000	0.050872	34.971920
414	0.261752	75000	0.050791	35.022711
415	0.260635	75000	0.050738	35.073449
416	0.259520	75000	0.050548	35.123996
417	0.258409	75000	0.050362	35.174359
418	0.257300	75000	0.050244	35.224603
419	0.256195	75000	0.050153	35.274755
420	0.255092	75000	0.049833	35.324589
421	0.253992	75000	0.049838	35.374427
422	0.252895	75000	0.049700	35.424127
423	0.251800	75000	0.049427	35.473555
424	0.250709	75000	0.049241	35.522796
425	0.249620	75000	0.049209	35.572005
426	0.248534	75000	0.049062	35.621068
427	0.247451	75000	0.048892	35.669960
428	0.246371	75000	0.048855	35.718815
429	0.245294	75000	0.048534	35.767349
430	0.244220	75000	0.048467	35.815816
431	0.243148	75000	0.048308	35.864124
432	0.242079	75000	0.048215	35.912339
433	0.241013	75000	0.048073	35.960412
434	0.239950	75000	0.047827	36.008239
435	0.238890	75000	0.047707	36.055946
436	0.237832	75000	0.047595	36.103540
437	0.236778	75000	0.047403	36.150944
438	0.235726	75000	0.047256	36.198200
439	0.234677	75000	0.047160	36.245360
440	0.233630	75000	0.047016	36.292376
441	0.232587	75000	0.046814	36.339189
442	0.231546	75000	0.046638	36.385827
443	0.230509	75000	0.046608	36.432436
444	0.229473	75000	0.046432	36.478867
445	0.228441	75000	0.046162	36.525029
446	0.227412	75000	0.046102	36.571131
447	0.226385	75000	0.045889	36.617020
448	0.225361	75000	0.045828	36.662848
449	0.224340	75000	0.045658	36.708506
450	0.223322	75000	0.045586	36.754092
451	0.222306	75000	0.045318	36.799410
452	0.221293	75000	0.045128	36.844538
453	0.220283	75000	0.045115	36.889653
454	0.219276	75000	0.044987	36.934640
455	0.218272	75000	0.044823	36.979463
456	0.217270	75000	0.044557	37.024020
457	0.216271	75000	0.044497	37.068517
458	0.215275	75000	0.044372	37.112888
459	0.214281	75000	0.044247	37.157135
460	0.213291	75000	0.044175	37.201311
461	0.212303	75000	0.044012	37.245323
462	0.211318	75000	0.043816	37.289138
463	0.210335	75000	0.043670	37.332809
464	0.209356	75000	0.043543	37.376352
465	0.208379	75000	0.043349	37.419701
466	0.207404	75000	0.043214	37.462914
467	0.206433	75000	0.043050	37.505964
468	0.205464	75000	0.042925	37.548890
469	0.204498	75000	0.042702	37.591591
470	0.203535	75000	0.042609	37.634200
471	0.202575	75000	0.042413	37.676614
472	0.201617	75000	0.042249	37.718862
473	0.200662	75000	0.042142	37.761004
474	0.199709	75000	0.041958	37.802962
475	0.198760	75000	0.041928	37.844890
476	0.197813	75000	0.041746	37.886636
477	0.196869	75000	0.041641	37.928277
478	0.195927	75000	0.041393	37.969669
479	0.194988	75000	0.041355	38.011025
480	0.194052	75000	0.041311	38.052336
481	0.193119	75000	0.040932	38.093268
482	0.192188	75000	0.040892	38.134160
483	0.191260	75000	0.040606	38.174765
484	0.190335	75000	0.040732	38.215497
485	0.189412	75000	0.040607	38.256104
486	0.188492	75000	0.040290	38.296394
487	0.187575	75000	0.040169	38.336564
488	0.186660	75000	0.039962	38.376525
489	0.185749	75000	0.039946	38.416471
490	0.184839	75000	0.039621	38.456092
491	0.183933	75000	0.039568	38.495660
492	0.183029	75000	0.039591	38.535251
493	0.182128	75000	0.039392	38.574643
494	0.181229	75000	0.039288	38.613931
495	0.180333	75000	0.038949	38.652880
496	0.179440	75000	0.038797	38.691677
497	0.178550	75000	0.038772	38.730449
498	0.177662	75000	0.038597	38.769047
499	0.176777	75000	0.038370	38.807417
500	0.175894	75000	0.038329	38.845746
501	0.175014	75000	0.038235	38.883981
502	0.174137	75000	0.038037	38.922018
503	0.173262	75000	0.037940	38.959958
504	0.172390	75000	0.037773	38.997731
505	0.171521	75000	0.037589	39.035319
506	0.170654	75000	0.037411	39.072730
507	0.169790	75000	0.037240	39.109970
508	0.168929	75000	0.037214	39.147184
509	0.168070	75000	0.037007	39.184191
510	0.167214	75000	0.036910	39.221100
511	0.166360	75000	0.036678	39.257779
512	0.165509	75000	0.036497	39.294276
513	0.164661	75000	0.036493	39.330769
514	0.163815	75000	0.036336	39.367106
515	0.162972	75000	0.036122	39.403228
516	0.162132	75000	0.035844	39.439072
517	0.161294	75000	0.035850	39.474922
518	0.160458	75000	0.035732	39.510653
519	0.159626	75000	0.035616	39.546269
520	0.158796	75000	0.035592	39.581861
521	0.157968	75000	0.035216	39.617077
522	0.157143	75000	0.035151	39.652228
523	0.156321	75000	0.034986	39.687214
524	0.155501	75000	0.034932	39.722146
525	0.154684	75000	0.034912	39.757058
526	0.153870	75000	0.034658	39.791716
527	0.153058	75000	0.034440	39.826156
528	0.152248	75000	0.034448	39.860604
529	0.151441	75000	0.034246	39.894851
530	0.150637	75000	0.034184	39.929035
531	0.149835	75000	0.033957	39.962992
532	0.149036	75000	0.033731	39.996723
533	0.148240	75000	0.033811	40.030534
534	0.147446	75000	0.033715	40.064249
535	0.146654	75000	0.033341	40.097590
536	0.145865	75000	0.033194	40.130783
537	0.145079	75000	0.033181	40.163964
538	0.144295	75000	0.032877	40.196841
539	0.143514	75000	0.032789	40.229630
540	0.142735	75000	0.032588	40.262218
541	0.141959	75000	0.032545	40.294764
542	0.141186	75000	0.032457	40.327221
543	0.140415	75000	0.032226	40.359447
544	0.139646	75000	0.032223	40.391671
545	0.138880	75000	0.032095	40.423766
546	0.138116	75000	0.031879	40.455645
547	0.137356	75000	0.031748	40.487393
548	0.136597	75000	0.031515	40.518908
549	0.135841	75000	0.031561	40.550469
550	0.135088	75000	0.031379	40.581848
551	0.134337	75000	0.031028	40.612876
552	0.133588	75000	0.031160	40.644035
553	0.132843	75000	0.030702	40.674738
554	0.132099	75000	0.030810	40.705548
555	0.131358	75000	0.030539	40.736087
556	0.130620	75000	0.030556	40.766642
557	0.129884	75000	0.030419	40.797062
558	0.129151	75000	0.030163	40.827225
559	0.128420	75000	0.029988	40.857213
560	0.127691	75000	0.029911	40.887124
561	0.126965	75000	0.029776	40.916900
562	0.126242	75000	0.029640	40.946541
563	0.125521	75000	0.029536	40.976077
564	0.124802	75000	0.029326	41.005403
565	0.124086	75000	0.029218	41.034621
566	0.123373	75000	0.029035	41.063656
567	0.122662	75000	0.029181	41.092837
568	0.121953	75000	0.028949	41.121786
569	0.121247	75000	0.028644	41.150430
570	0.120543	75000	0.028613	41.179043
571	0.119842	75000	0.028350	41.207393
572	0.119143	75000	0.028268	41.235661
573	0.118447	75000	0.028102	41.263763
574	0.117753	75000	0.027978	41.291740
575	0.117062	75000	0.027886	41.319626
576	0.116373	75000	0.027636	41.347262
577	0.115686	75000	0.027639	41.374901
578	0.115002	75000	0.027499	41.402400
579	0.114320	75000	0.027365	41.429765
580	0.113641	75000	0.026957	41.456721
581	0.112964	75000	0.027080	41.483801
582	0.112290	75000	0.027074	41.510875
583	0.111618	75000	0.026842	41.537716
584	0.110948	75000	0.026518	41.564235
585	0.110281	75000	0.026338	41.590573
586	0.109616	75000	0.026380	41.616953
587	0.108954	75000	0.026085	41.643038
588	0.108294	75000	0.026029	41.669067
589	0.107637	75000	0.026017	41.695084
590	0.106981	75000	0.025862	41.720946
591	0.106329	75000	0.025722	41.746668
592	0.105678	75000	0.025643	41.772310
593	0.105030	75000	0.025300	41.797611
594	0.104385	75000	0.025361	41.822971
595	0.103742	75000	0.025025	41.847997
596	0.103101	75000	0.025022	41.873019
597	0.102463	75000	0.024946	41.897964
598	0.101827	75000	0.024657	41.922621
599	0.101193	75000	0.024791	41.947412
600	0.100562	75000	0.024353	41.971765
601	0.099933	75000	0.024177	41.995942
602	0.099306	75000	0.024073	42.020015
603	0.098682	75000	0.024092	42.044107
604	0.098060	75000	0.023861	42.067968
605	0.097441	75000	0.023589	42.091557
606	0.096824	75000	0.023503	42.115060
607	0.096209	75000	0.023493	42.138554
608	0.095596	75000	0.023255	42.161809
609	0.094986	75000	0.023123	42.184931
610	0.094379	75000	0.023181	42.208112
611	0.093773	75000	0.022927	42.231039
612	0.093170	75000	0.022795	42.253834
613	0.092570	75000	0.022638	42.276472
614	0.091971	75000	0.022668	42.299140
615	0.091375	75000	0.022313	42.321453
616	0.090781	75000	0.022292	42.343746
617	0.090190	75000	0.022035	42.365781
618	0.089601	75000	0.021986	42.387766
619	0.089014	75000	0.021980	42.409746
620	0.088430	75000	0.021964	42.431711
621	0.087848	75000	0.021575	42.453286
622	0.087268	75000	0.021424	42.474709
623	0.086690	75000	0.021238	42.495947
