Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.272373	-0.272373
1	0.995007	75000	-0.272050	-0.544422
2	0.992517	75000	-0.271541	-0.815963
3	0.990030	75000	-0.271188	-1.087151
4	0.987547	75000	-0.270804	-1.357956
5	0.985067	75000	-0.270296	-1.628251
6	0.982592	75000	-0.269922	-1.898173
7	0.980120	75000	-0.269501	-2.167674
8	0.977652	75000	-0.269164	-2.436838
9	0.975187	75000	-0.268759	-2.705597
10	0.972726	75000	-0.268334	-2.973932
11	0.970269	75000	-0.267935	-3.241867
12	0.967816	75000	-0.267535	-3.509402
13	0.965367	75000	-0.267146	-3.776548
14	0.962921	75000	-0.266713	-4.043261
15	0.960479	75000	-0.266351	-4.309611
16	0.958040	75000	-0.265936	-4.575547
17	0.955606	75000	-0.265507	-4.841054
18	0.953175	75000	-0.265211	-5.106265
19	0.950747	75000	-0.264654	-5.370919
20	0.948324	75000	-0.264433	-5.635352
21	0.945904	75000	-0.264019	-5.899371
22	0.943488	75000	-0.263597	-6.162968
23	0.941076	75000	-0.263130	-6.426098
24	0.938667	75000	-0.262747	-6.688845
25	0.936262	75000	-0.262394	-6.951239
26	0.933861	75000	-0.261929	-7.213168
27	0.931463	75000	-0.261633	-7.474800
28	0.929069	75000	-0.261183	-7.735984
29	0.926679	75000	-0.260820	-7.996804
30	0.924293	75000	-0.260356	-8.257160
31	0.921910	75000	-0.259986	-8.517146
32	0.919531	75000	-0.259627	-8.776773
33	0.917155	75000	-0.259185	-9.035958
34	0.914783	75000	-0.258784	-9.294743
35	0.912415	75000	-0.258403	-9.553146
36	0.910051	75000	-0.258028	-9.811173
37	0.907690	75000	-0.257663	-10.068836
38	0.905333	75000	-0.257206	-10.326042
39	0.902980	75000	-0.256813	-10.582855
40	0.900630	75000	-0.256374	-10.839228
41	0.898284	75000	-0.256116	-11.095345
42	0.895942	75000	-0.255653	-11.350998
43	0.893603	75000	-0.255213	-11.606210
44	0.891268	75000	-0.254860	-11.861071
45	0.888937	75000	-0.254489	-12.115559
46	0.886609	75000	-0.254101	-12.369660
47	0.884285	75000	-0.253656	-12.623316
48	0.881965	75000	-0.253268	-12.876583
49	0.879648	75000	-0.252927	-13.129511
50	0.877335	75000	-0.252450	-13.381961
51	0.875026	75000	-0.252087	-13.634048
52	0.872720	75000	-0.251671	-13.885720
53	0.870418	75000	-0.251316	-14.137035
54	0.868120	75000	-0.250998	-14.388033
55	0.865825	75000	-0.250539	-14.638572
56	0.863534	75000	-0.250205	-14.888777
57	0.861246	75000	-0.249796	-15.138573
58	0.858962	75000	-0.249424	-15.387996
59	0.856682	75000	-0.248996	-15.636992
60	0.854405	75000	-0.248593	-15.885586
61	0.852132	75000	-0.248278	-16.133864
62	0.849863	75000	-0.247808	-16.381672
63	0.847597	75000	-0.247425	-16.629097
64	0.845335	75000	-0.247030	-16.876127
65	0.843077	75000	-0.246721	-17.122848
66	0.840822	75000	-0.246283	-17.369131
67	0.838571	75000	-0.245870	-17.615001
68	0.836323	75000	-0.245495	-17.860496
69	0.834079	75000	-0.245104	-18.105600
70	0.831839	75000	-0.244709	-18.350309
71	0.829602	75000	-0.244284	-18.594593
72	0.827369	75000	-0.243970	-18.838563
73	0.825140	75000	-0.243566	-19.082129
74	0.822914	75000	-0.243140	-19.325269
75	0.820691	75000	-0.242800	-19.568069
76	0.818473	75000	-0.242421	-19.810490
77	0.816258	75000	-0.242007	-20.052497
78	0.814046	75000	-0.241557	-20.294054
79	0.811838	75000	-0.241281	-20.535336
80	0.809634	75000	-0.240871	-20.776206
81	0.807433	75000	-0.240505	-21.016711
82	0.805236	75000	-0.240109	-21.256820
83	0.803043	75000	-0.239737	-21.496557
84	0.800853	75000	-0.239275	-21.735832
85	0.798667	75000	-0.238878	-21.974710
86	0.796484	75000	-0.238592	-22.213302
87	0.794305	75000	-0.238120	-22.451422
88	0.792129	75000	-0.237774	-22.689197
89	0.789957	75000	-0.237378	-22.926575
90	0.787789	75000	-0.236945	-23.163520
91	0.785624	75000	-0.236692	-23.400212
92	0.783463	75000	-0.236270	-23.636483
93	0.781305	75000	-0.235907	-23.872390
94	0.779151	75000	-0.235488	-24.107877
95	0.777000	75000	-0.235108	-24.342985
96	0.774853	75000	-0.234725	-24.577711
97	0.772710	75000	-0.234293	-24.812003
98	0.770570	75000	-0.233959	-25.045963
99	0.768433	75000	-0.233572	-25.279535
100	0.766301	75000	-0.233197	-25.512732
101	0.764172	75000	-0.232784	-25.745516
102	0.762046	75000	-0.232451	-25.977966
103	0.759924	75000	-0.232076	-26.210042
104	0.757805	75000	-0.231692	-26.441734
105	0.755690	75000	-0.231306	-26.673041
106	0.753579	75000	-0.230873	-26.903914
107	0.751471	75000	-0.230597	-27.134511
108	0.749366	75000	-0.230090	-27.364601
109	0.747266	75000	-0.229705	-27.594306
110	0.745168	75000	-0.229397	-27.823703
111	0.743075	75000	-0.228999	-28.052702
112	0.740984	75000	-0.228612	-28.281314
113	0.738898	75000	-0.228211	-28.509525
114	0.736815	75000	-0.227926	-28.737451
115	0.734735	75000	-0.227516	-28.964966
116	0.732659	75000	-0.227071	-29.192037
117	0.730586	75000	-0.226757	-29.418794
118	0.728517	75000	-0.226348	-29.645141
119	0.726452	75000	-0.225949	-29.871090
120	0.724390	75000	-0.225677	-30.096767
121	0.722331	75000	-0.225275	-30.322042
122	0.720276	75000	-0.224788	-30.546830
123	0.718225	75000	-0.224518	-30.771348
124	0.716177	75000	-0.224114	-30.995462
125	0.714132	75000	-0.223761	-31.219223
126	0.712091	75000	-0.223350	-31.442574
127	0.710054	75000	-0.222982	-31.665556
128	0.708020	75000	-0.222524	-31.888080
129	0.705989	75000	-0.222294	-32.110374
130	0.703962	75000	-0.221872	-32.332246
131	0.701939	75000	-0.221474	-32.553720
132	0.699919	75000	-0.221089	-32.774809
133	0.697902	75000	-0.220699	-32.995507
134	0.695889	75000	-0.220294	-33.215801
135	0.693880	75000	-0.220019	-33.435820
136	0.691874	75000	-0.219592	-33.655412
137	0.689871	75000	-0.219254	-33.874666
138	0.687872	75000	-0.218833	-34.093499
139	0.685877	75000	-0.218492	-34.311991
140	0.683885	75000	-0.218176	-34.530167
141	0.681896	75000	-0.217736	-34.747903
142	0.679911	75000	-0.217406	-34.965310
143	0.677929	75000	-0.217042	-35.182352
144	0.675951	75000	-0.216649	-35.399000
145	0.673976	75000	-0.216279	-35.615280
146	0.672005	75000	-0.215978	-35.831258
147	0.670037	75000	-0.215503	-36.046761
148	0.668073	75000	-0.215185	-36.261945
149	0.666112	75000	-0.214733	-36.476678
150	0.664155	75000	-0.214347	-36.691025
151	0.662201	75000	-0.214056	-36.905081
152	0.660250	75000	-0.213660	-37.118741
153	0.658303	75000	-0.213321	-37.332062
