Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.208987	-0.208987
1	0.995007	75000	-0.208658	-0.417645
2	0.992517	75000	-0.208301	-0.625947
3	0.990030	75000	-0.208053	-0.833999
4	0.987547	75000	-0.207716	-1.041716
5	0.985067	75000	-0.207385	-1.249101
6	0.982592	75000	-0.207082	-1.456183
7	0.980120	75000	-0.206776	-1.662959
8	0.977652	75000	-0.206533	-1.869492
9	0.975187	75000	-0.206187	-2.075679
10	0.972726	75000	-0.205848	-2.281527
11	0.970269	75000	-0.205559	-2.487086
12	0.967816	75000	-0.205260	-2.692346
13	0.965367	75000	-0.204965	-2.897311
14	0.962921	75000	-0.204694	-3.102005
15	0.960479	75000	-0.204380	-3.306385
16	0.958040	75000	-0.204044	-3.510429
17	0.955606	75000	-0.203753	-3.714182
18	0.953175	75000	-0.203397	-3.917580
19	0.950747	75000	-0.203124	-4.120704
20	0.948324	75000	-0.202910	-4.323615
21	0.945904	75000	-0.202467	-4.526082
22	0.943488	75000	-0.202204	-4.728286
23	0.941076	75000	-0.201928	-4.930214
24	0.938667	75000	-0.201582	-5.131796
25	0.936262	75000	-0.201334	-5.333129
26	0.933861	75000	-0.201013	-5.534142
27	0.931463	75000	-0.200696	-5.734838
28	0.929069	75000	-0.200383	-5.935220
29	0.926679	75000	-0.200112	-6.135333
30	0.924293	75000	-0.199874	-6.335207
31	0.921910	75000	-0.199503	-6.534710
32	0.919531	75000	-0.199274	-6.733984
33	0.917155	75000	-0.198901	-6.932885
34	0.914783	75000	-0.198566	-7.131451
35	0.912415	75000	-0.198328	-7.329779
36	0.910051	75000	-0.198027	-7.527806
37	0.907690	75000	-0.197703	-7.725509
38	0.905333	75000	-0.197444	-7.922953
39	0.902980	75000	-0.197053	-8.120006
40	0.900630	75000	-0.196739	-8.316745
41	0.898284	75000	-0.196478	-8.513223
42	0.895942	75000	-0.196150	-8.709373
43	0.893603	75000	-0.195892	-8.905264
44	0.891268	75000	-0.195637	-9.100901
45	0.888937	75000	-0.195279	-9.296180
46	0.886609	75000	-0.195011	-9.491191
47	0.884285	75000	-0.194718	-9.685908
48	0.881965	75000	-0.194345	-9.880253
