Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.366892	0.366892
1	0.995007	75000	0.366279	0.733171
2	0.992517	75000	0.365801	1.098972
3	0.990030	75000	0.365204	1.464176
4	0.987547	75000	0.364694	1.828870
5	0.985067	75000	0.364153	2.193022
6	0.982592	75000	0.363542	2.556564
7	0.980120	75000	0.363003	2.919567
8	0.977652	75000	0.362478	3.282045
9	0.975187	75000	0.362001	3.644047
10	0.972726	75000	0.361384	4.005431
11	0.970269	75000	0.360854	4.366285
12	0.967816	75000	0.360264	4.726549
13	0.965367	75000	0.359699	5.086248
14	0.962921	75000	0.359124	5.445372
15	0.960479	75000	0.358586	5.803958
16	0.958040	75000	0.358037	6.161994
17	0.955606	75000	0.357507	6.519502
18	0.953175	75000	0.356933	6.876435
19	0.950747	75000	0.356416	7.232851
20	0.948324	75000	0.355841	7.588692
21	0.945904	75000	0.355297	7.943989
22	0.943488	75000	0.354748	8.298737
23	0.941076	75000	0.354212	8.652949
24	0.938667	75000	0.353666	9.006615
25	0.936262	75000	0.353068	9.359683
26	0.933861	75000	0.352489	9.712172
27	0.931463	75000	0.351985	10.064158
28	0.929069	75000	0.351446	10.415604
29	0.926679	75000	0.350878	10.766482
30	0.924293	75000	0.350355	11.116836
31	0.921910	75000	0.349812	11.466648
32	0.919531	75000	0.349227	11.815875
33	0.917155	75000	0.348770	12.164645
34	0.914783	75000	0.348219	12.512864
35	0.912415	75000	0.347601	12.860464
36	0.910051	75000	0.347018	13.207482
37	0.907690	75000	0.346559	13.554041
38	0.905333	75000	0.345964	13.900005
39	0.902980	75000	0.345412	14.245417
40	0.900630	75000	0.344884	14.590300
41	0.898284	75000	0.344365	14.934665
42	0.895942	75000	0.343767	15.278432
43	0.893603	75000	0.343303	15.621736
44	0.891268	75000	0.342660	15.964395
45	0.888937	75000	0.342108	16.306503
46	0.886609	75000	0.341698	16.648200
47	0.884285	75000	0.341027	16.989228
48	0.881965	75000	0.340496	17.329723
49	0.879648	75000	0.339921	17.669644
50	0.877335	75000	0.339513	18.009157
51	0.875026	75000	0.338935	18.348093
52	0.872720	75000	0.338349	18.686442
53	0.870418	75000	0.337796	19.024238
54	0.868120	75000	0.337272	19.361510
55	0.865825	75000	0.336698	19.698208
56	0.863534	75000	0.336170	20.034377
57	0.861246	75000	0.335598	20.369975
58	0.858962	75000	0.335074	20.705049
59	0.856682	75000	0.334605	21.039655
60	0.854405	75000	0.333992	21.373647
61	0.852132	75000	0.333451	21.707098
62	0.849863	75000	0.332905	22.040003
63	0.847597	75000	0.332349	22.372352
64	0.845335	75000	0.331868	22.704220
65	0.843077	75000	0.331321	23.035541
66	0.840822	75000	0.330804	23.366344
67	0.838571	75000	0.330174	23.696519
68	0.836323	75000	0.329719	24.026237
69	0.834079	75000	0.329185	24.355422
70	0.831839	75000	0.328611	24.684033
71	0.829602	75000	0.328114	25.012147
72	0.827369	75000	0.327583	25.339730
73	0.825140	75000	0.327057	25.666787
74	0.822914	75000	0.326477	25.993264
75	0.820691	75000	0.325915	26.319179
76	0.818473	75000	0.325388	26.644566
77	0.816258	75000	0.324900	26.969467
78	0.814046	75000	0.324300	27.293767
79	0.811838	75000	0.323729	27.617495
80	0.809634	75000	0.323242	27.940737
81	0.807433	75000	0.322655	28.263392
82	0.805236	75000	0.322189	28.585581
83	0.803043	75000	0.321627	28.907208
84	0.800853	75000	0.321144	29.228352
85	0.798667	75000	0.320557	29.548909
86	0.796484	75000	0.320082	29.868991
87	0.794305	75000	0.319553	30.188543
88	0.792129	75000	0.318942	30.507486
89	0.789957	75000	0.318447	30.825933
90	0.787789	75000	0.317865	31.143798
91	0.785624	75000	0.317333	31.461131
92	0.783463	75000	0.316863	31.777994
93	0.781305	75000	0.316279	32.094274
94	0.779151	75000	0.315792	32.410066
95	0.777000	75000	0.315252	32.725317
96	0.774853	75000	0.314749	33.040066
97	0.772710	75000	0.314209	33.354275
98	0.770570	75000	0.313662	33.667937
99	0.768433	75000	0.313115	33.981053
100	0.766301	75000	0.312648	34.293700
101	0.764172	75000	0.312058	34.605758
102	0.762046	75000	0.311552	34.917311
103	0.759924	75000	0.311039	35.228350
104	0.757805	75000	0.310523	35.538872
105	0.755690	75000	0.309955	35.848827
106	0.753579	75000	0.309420	36.158247
107	0.751471	75000	0.308856	36.467103
108	0.749366	75000	0.308449	36.775552
109	0.747266	75000	0.307873	37.083425
110	0.745168	75000	0.307368	37.390793
111	0.743075	75000	0.306812	37.697605
112	0.740984	75000	0.306246	38.003851
113	0.738898	75000	0.305795	38.309646
114	0.736815	75000	0.305263	38.614909
115	0.734735	75000	0.304728	38.919637
116	0.732659	75000	0.304148	39.223784
117	0.730586	75000	0.303706	39.527490
118	0.728517	75000	0.303173	39.830663
119	0.726452	75000	0.302647	40.133310
120	0.724390	75000	0.302090	40.435399
121	0.722331	75000	0.301513	40.736913
122	0.720276	75000	0.301049	41.037962
123	0.718225	75000	0.300528	41.338490
124	0.716177	75000	0.299990	41.638479
125	0.714132	75000	0.299522	41.938002
126	0.712091	75000	0.298929	42.236930
127	0.710054	75000	0.298396	42.535326
128	0.708020	75000	0.297896	42.833222
129	0.705989	75000	0.297424	43.130647
130	0.703962	75000	0.296909	43.427555
131	0.701939	75000	0.296367	43.723922
132	0.699919	75000	0.295819	44.019741
133	0.697902	75000	0.295292	44.315033
134	0.695889	75000	0.294757	44.609790
135	0.693880	75000	0.294207	44.903997
136	0.691874	75000	0.293766	45.197764
137	0.689871	75000	0.293237	45.491001
138	0.687872	75000	0.292707	45.783708
139	0.685877	75000	0.292223	46.075932
140	0.683885	75000	0.291664	46.367595
141	0.681896	75000	0.291126	46.658722
142	0.679911	75000	0.290615	46.949336
143	0.677929	75000	0.290166	47.239503
144	0.675951	75000	0.289574	47.529077
145	0.673976	75000	0.289081	47.818158
146	0.672005	75000	0.288630	48.106788
147	0.670037	75000	0.288082	48.394871
148	0.668073	75000	0.287561	48.682432
149	0.666112	75000	0.286997	48.969429
150	0.664155	75000	0.286518	49.255947
151	0.662201	75000	0.286030	49.541976
152	0.660250	75000	0.285517	49.827493
153	0.658303	75000	0.284969	50.112461
154	0.656359	75000	0.284522	50.396984
155	0.654419	75000	0.283941	50.680924
156	0.652483	75000	0.283405	50.964329
157	0.650549	75000	0.282939	51.247268
158	0.648619	75000	0.282381	51.529649
159	0.646693	75000	0.281837	51.811486
160	0.644770	75000	0.281357	52.092843
161	0.642851	75000	0.280859	52.373703
162	0.640934	75000	0.280277	52.653979
163	0.639022	75000	0.279815	52.933795
164	0.637113	75000	0.279317	53.213112
165	0.635207	75000	0.278826	53.491939
166	0.633304	75000	0.278323	53.770261
167	0.631405	75000	0.277854	54.048116
168	0.629510	75000	0.277240	54.325356
169	0.627618	75000	0.276812	54.602168
170	0.625729	75000	0.276198	54.878366
171	0.623844	75000	0.275765	55.154131
172	0.621962	75000	0.275307	55.429439
173	0.620083	75000	0.274764	55.704203
174	0.618208	75000	0.274209	55.978412
175	0.616337	75000	0.273777	56.252189
176	0.614468	75000	0.273223	56.525412
177	0.612604	75000	0.272685	56.798097
178	0.610742	75000	0.272197	57.070294
179	0.608884	75000	0.271691	57.341985
180	0.607029	75000	0.271195	57.613181
181	0.605178	75000	0.270693	57.883873
182	0.603330	75000	0.270193	58.154066
183	0.601486	75000	0.269727	58.423793
184	0.599645	75000	0.269221	58.693013
185	0.597807	75000	0.268636	58.961649
186	0.595973	75000	0.268171	59.229821
187	0.594142	75000	0.267647	59.497468
188	0.592314	75000	0.267139	59.764607
189	0.590490	75000	0.266624	60.031231
190	0.588669	75000	0.266125	60.297356
191	0.586852	75000	0.265751	60.563107
192	0.585038	75000	0.265128	60.828235
193	0.583227	75000	0.264651	61.092886
194	0.581420	75000	0.264118	61.357004
195	0.579616	75000	0.263642	61.620645
196	0.577815	75000	0.263083	61.883728
197	0.576018	75000	0.262591	62.146320
198	0.574224	75000	0.262188	62.408508
199	0.572433	75000	0.261672	62.670179
200	0.570646	75000	0.261128	62.931307
201	0.568862	75000	0.260571	63.191878
202	0.567082	75000	0.260160	63.452038
203	0.565305	75000	0.259682	63.711720
204	0.563531	75000	0.259082	63.970802
205	0.561761	75000	0.258621	64.229423
206	0.559993	75000	0.258160	64.487583
207	0.558230	75000	0.257670	64.745253
208	0.556469	75000	0.257199	65.002452
209	0.554712	75000	0.256716	65.259168
210	0.552958	75000	0.256231	65.515399
211	0.551208	75000	0.255636	65.771035
212	0.549461	75000	0.255216	66.026251
213	0.547717	75000	0.254710	66.280961
214	0.545977	75000	0.254192	66.535153
215	0.544240	75000	0.253629	66.788782
216	0.542506	75000	0.253137	67.041919
217	0.540775	75000	0.252698	67.294617
218	0.539048	75000	0.252234	67.546852
219	0.537324	75000	0.251695	67.798547
220	0.535604	75000	0.251283	68.049830
221	0.533887	75000	0.250679	68.300509
222	0.532173	75000	0.250176	68.550685
223	0.530462	75000	0.249761	68.800446
224	0.528755	75000	0.249245	69.049691
225	0.527051	75000	0.248715	69.298406
226	0.525350	75000	0.248272	69.546678
227	0.523653	75000	0.247746	69.794424
228	0.521958	75000	0.247273	70.041697
229	0.520268	75000	0.246774	70.288471
230	0.518580	75000	0.246196	70.534668
231	0.516896	75000	0.245784	70.780452
232	0.515215	75000	0.245290	71.025742
233	0.513537	75000	0.244788	71.270530
234	0.511863	75000	0.244319	71.514849
235	0.510192	75000	0.243813	71.758662
236	0.508524	75000	0.243324	72.001985
237	0.506859	75000	0.242877	72.244863
238	0.505198	75000	0.242284	72.487146
239	0.503540	75000	0.241903	72.729050
240	0.501885	75000	0.241370	72.970420
241	0.500234	75000	0.240900	73.211320
242	0.498586	75000	0.240464	73.451784
243	0.496941	75000	0.239878	73.691662
244	0.495299	75000	0.239431	73.931093
245	0.493660	75000	0.238924	74.170017
246	0.492025	75000	0.238477	74.408495
247	0.490393	75000	0.237982	74.646476
248	0.488765	75000	0.237512	74.883989
249	0.487139	75000	0.236971	75.120960
250	0.485517	75000	0.236487	75.357447
251	0.483898	75000	0.236044	75.593491
252	0.482283	75000	0.235581	75.829072
253	0.480670	75000	0.235137	76.064209
254	0.479061	75000	0.234662	76.298871
255	0.477455	75000	0.234030	76.532901
256	0.475852	75000	0.233612	76.766513
257	0.474253	75000	0.233135	76.999649
258	0.472656	75000	0.232685	77.232334
259	0.471063	75000	0.232167	77.464501
260	0.469474	75000	0.231721	77.696223
261	0.467887	75000	0.231286	77.927509
262	0.466304	75000	0.230693	78.158202
263	0.464723	75000	0.230210	78.388413
264	0.463146	75000	0.229779	78.618191
265	0.461573	75000	0.229317	78.847508
266	0.460002	75000	0.228860	79.076369
267	0.458435	75000	0.228291	79.304659
268	0.456871	75000	0.227902	79.532561
269	0.455310	75000	0.227316	79.759877
270	0.453752	75000	0.226936	79.986813
271	0.452198	75000	0.226422	80.213235
272	0.450647	75000	0.225886	80.439121
273	0.449098	75000	0.225514	80.664635
274	0.447554	75000	0.224969	80.889604
275	0.446012	75000	0.224497	81.114101
276	0.444473	75000	0.224037	81.338138
277	0.442938	75000	0.223571	81.561708
278	0.441406	75000	0.223117	81.784825
279	0.439877	75000	0.222623	82.007448
280	0.438351	75000	0.222066	82.229514
281	0.436829	75000	0.221578	82.451092
282	0.435309	75000	0.221153	82.672245
283	0.433793	75000	0.220800	82.893045
284	0.432280	75000	0.220173	83.113218
285	0.430770	75000	0.219743	83.332961
286	0.429263	75000	0.219264	83.552225
287	0.427760	75000	0.218837	83.771063
288	0.426259	75000	0.218443	83.989506
289	0.424762	75000	0.217810	84.207316
290	0.423268	75000	0.217352	84.424668
291	0.421777	75000	0.216952	84.641619
292	0.420289	75000	0.216382	84.858001
293	0.418805	75000	0.216021	85.074022
294	0.417323	75000	0.215439	85.289461
295	0.415845	75000	0.215085	85.504546
296	0.414370	75000	0.214674	85.719220
297	0.412898	75000	0.214068	85.933287
298	0.411429	75000	0.213626	86.146913
299	0.409963	75000	0.213115	86.360028
300	0.408501	75000	0.212587	86.572614
301	0.407041	75000	0.212218	86.784833
302	0.405585	75000	0.211736	86.996569
303	0.404132	75000	0.211321	87.207890
304	0.402682	75000	0.210791	87.418681
305	0.401235	75000	0.210391	87.629072
306	0.399791	75000	0.209845	87.838917
307	0.398350	75000	0.209406	88.048323
308	0.396913	75000	0.208933	88.257256
309	0.395478	75000	0.208460	88.465716
310	0.394047	75000	0.207921	88.673637
311	0.392619	75000	0.207513	88.881150
312	0.391194	75000	0.207072	89.088221
313	0.389772	75000	0.206542	89.294764
314	0.388353	75000	0.206114	89.500878
315	0.386937	75000	0.205643	89.706521
316	0.385524	75000	0.205267	89.911788
317	0.384115	75000	0.204698	90.116486
318	0.382708	75000	0.204189	90.320676
319	0.381305	75000	0.203854	90.524530
320	0.379904	75000	0.203327	90.727857
321	0.378507	75000	0.202915	90.930771
322	0.377113	75000	0.202356	91.133127
323	0.375722	75000	0.201932	91.335059
324	0.374334	75000	0.201563	91.536622
325	0.372949	75000	0.200930	91.737552
326	0.371567	75000	0.200627	91.938179
327	0.370189	75000	0.200186	92.138365
328	0.368813	75000	0.199646	92.338011
329	0.367440	75000	0.199200	92.537211
330	0.366071	75000	0.198765	92.735976
331	0.364705	75000	0.198309	92.934285
332	0.363341	75000	0.197845	93.132129
333	0.361981	75000	0.197364	93.329493
334	0.360624	75000	0.196894	93.526387
335	0.359269	75000	0.196479	93.722866
336	0.357918	75000	0.195979	93.918845
337	0.356570	75000	0.195497	94.114342
338	0.355225	75000	0.195069	94.309412
339	0.353883	75000	0.194550	94.503962
340	0.352544	75000	0.194241	94.698203
341	0.351208	75000	0.193689	94.891892
342	0.349875	75000	0.193209	95.085101
343	0.348546	75000	0.192792	95.277893
344	0.347219	75000	0.192363	95.470256
345	0.345895	75000	0.191828	95.662084
346	0.344574	75000	0.191501	95.853586
347	0.343257	75000	0.190948	96.044533
348	0.341942	75000	0.190601	96.235134
349	0.340630	75000	0.190058	96.425191
350	0.339322	75000	0.189592	96.614783
351	0.338016	75000	0.189213	96.803996
352	0.336714	75000	0.188683	96.992679
353	0.335414	75000	0.188218	97.180897
354	0.334118	75000	0.187703	97.368600
355	0.332824	75000	0.187335	97.555936
356	0.331534	75000	0.186865	97.742801
357	0.330246	75000	0.186377	97.929178
358	0.328962	75000	0.185995	98.115174
359	0.327680	75000	0.185541	98.300714
360	0.326401	75000	0.185174	98.485888
361	0.325126	75000	0.184579	98.670467
362	0.323853	75000	0.184233	98.854700
363	0.322584	75000	0.183735	99.038435
364	0.321317	75000	0.183295	99.221730
365	0.320054	75000	0.182755	99.404485
366	0.318793	75000	0.182313	99.586799
367	0.317536	75000	0.181911	99.768710
368	0.316281	75000	0.181490	99.950200
369	0.315030	75000	0.180981	100.131180
370	0.313781	75000	0.180601	100.311781
371	0.312535	75000	0.180165	100.491946
372	0.311293	75000	0.179670	100.671616
373	0.310053	75000	0.179342	100.850958
374	0.308816	75000	0.178919	101.029877
375	0.307582	75000	0.178350	101.208227
376	0.306352	75000	0.177916	101.386143
377	0.305124	75000	0.177513	101.563657
378	0.303899	75000	0.177028	101.740685
379	0.302677	75000	0.176635	101.917320
380	0.301458	75000	0.176139	102.093459
381	0.300242	75000	0.175691	102.269150
382	0.299029	75000	0.175262	102.444412
383	0.297819	75000	0.174825	102.619237
384	0.296611	75000	0.174363	102.793601
385	0.295407	75000	0.173971	102.967572
386	0.294206	75000	0.173448	103.141019
387	0.293007	75000	0.173048	103.314067
388	0.291812	75000	0.172582	103.486649
389	0.290619	75000	0.172243	103.658892
390	0.289430	75000	0.171699	103.830591
391	0.288243	75000	0.171310	104.001902
392	0.287059	75000	0.170852	104.172754
393	0.285879	75000	0.170471	104.343225
394	0.284701	75000	0.169907	104.513132
395	0.283526	75000	0.169518	104.682651
396	0.282354	75000	0.169121	104.851772
397	0.281184	75000	0.168624	105.020395
398	0.280018	75000	0.168155	105.188550
399	0.278855	75000	0.167819	105.356369
400	0.277694	75000	0.167321	105.523690
401	0.276537	75000	0.166959	105.690649
402	0.275382	75000	0.166480	105.857129
403	0.274230	75000	0.166060	106.023189
404	0.273082	75000	0.165602	106.188792
405	0.271936	75000	0.165073	106.353865
406	0.270793	75000	0.164840	106.518705
407	0.269652	75000	0.164337	106.683042
408	0.268515	75000	0.163838	106.846880
409	0.267381	75000	0.163460	107.010341
410	0.266249	75000	0.162983	107.173323
411	0.265121	75000	0.162629	107.335953
