Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.026049	-0.026049
1	0.995007	75000	-0.025978	-0.052027
2	0.992517	75000	-0.025967	-0.077994
3	0.990030	75000	-0.025918	-0.103912
4	0.987547	75000	-0.025889	-0.129801
5	0.985067	75000	-0.025878	-0.155678
6	0.982592	75000	-0.025864	-0.181542
7	0.980120	75000	-0.025818	-0.207360
8	0.977652	75000	-0.025778	-0.233138
9	0.975187	75000	-0.025739	-0.258877
10	0.972726	75000	-0.025744	-0.284621
11	0.970269	75000	-0.025662	-0.310283
12	0.967816	75000	-0.025658	-0.335941
13	0.965367	75000	-0.025616	-0.361557
14	0.962921	75000	-0.025581	-0.387138
15	0.960479	75000	-0.025573	-0.412711
16	0.958040	75000	-0.025417	-0.438128
17	0.955606	75000	-0.025513	-0.463641
18	0.953175	75000	-0.025349	-0.488990
19	0.950747	75000	-0.025392	-0.514382
20	0.948324	75000	-0.025408	-0.539790
21	0.945904	75000	-0.025400	-0.565190
22	0.943488	75000	-0.025291	-0.590481
23	0.941076	75000	-0.025292	-0.615773
24	0.938667	75000	-0.025263	-0.641036
25	0.936262	75000	-0.025226	-0.666262
26	0.933861	75000	-0.025206	-0.691469
27	0.931463	75000	-0.025116	-0.716585
28	0.929069	75000	-0.025119	-0.741704
29	0.926679	75000	-0.025053	-0.766757
30	0.924293	75000	-0.025015	-0.791771
31	0.921910	75000	-0.024987	-0.816758
32	0.919531	75000	-0.025015	-0.841774
33	0.917155	75000	-0.024961	-0.866734
34	0.914783	75000	-0.024860	-0.891594
35	0.912415	75000	-0.024962	-0.916556
36	0.910051	75000	-0.024875	-0.941431
37	0.907690	75000	-0.024809	-0.966241
38	0.905333	75000	-0.024767	-0.991008
39	0.902980	75000	-0.024775	-1.015783
40	0.900630	75000	-0.024681	-1.040464
41	0.898284	75000	-0.024719	-1.065184
42	0.895942	75000	-0.024731	-1.089915
43	0.893603	75000	-0.024681	-1.114596
44	0.891268	75000	-0.024637	-1.139233
45	0.888937	75000	-0.024553	-1.163786
46	0.886609	75000	-0.024541	-1.188327
47	0.884285	75000	-0.024445	-1.212773
48	0.881965	75000	-0.024525	-1.237298
49	0.879648	75000	-0.024438	-1.261736
50	0.877335	75000	-0.024391	-1.286127
51	0.875026	75000	-0.024375	-1.310502
52	0.872720	75000	-0.024370	-1.334872
53	0.870418	75000	-0.024317	-1.359189
54	0.868120	75000	-0.024301	-1.383490
55	0.865825	75000	-0.024248	-1.407737
56	0.863534	75000	-0.024203	-1.431940
