Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.239732	-0.239732
1	0.995007	75000	-0.239442	-0.479174
2	0.992517	75000	-0.239114	-0.718288
3	0.990030	75000	-0.238695	-0.956983
4	0.987547	75000	-0.238361	-1.195343
5	0.985067	75000	-0.238000	-1.433343
6	0.982592	75000	-0.237602	-1.670945
7	0.980120	75000	-0.237240	-1.908185
8	0.977652	75000	-0.236896	-2.145081
9	0.975187	75000	-0.236581	-2.381662
10	0.972726	75000	-0.236247	-2.617909
11	0.970269	75000	-0.235885	-2.853794
12	0.967816	75000	-0.235475	-3.089269
13	0.965367	75000	-0.235201	-3.324470
14	0.962921	75000	-0.234856	-3.559326
15	0.960479	75000	-0.234537	-3.793863
16	0.958040	75000	-0.234118	-4.027981
17	0.955606	75000	-0.233665	-4.261646
18	0.953175	75000	-0.233425	-4.495071
19	0.950747	75000	-0.233210	-4.728281
20	0.948324	75000	-0.232699	-4.960980
21	0.945904	75000	-0.232505	-5.193485
22	0.943488	75000	-0.231981	-5.425465
23	0.941076	75000	-0.231731	-5.657196
24	0.938667	75000	-0.231398	-5.888595
25	0.936262	75000	-0.231069	-6.119664
26	0.933861	75000	-0.230686	-6.350350
27	0.931463	75000	-0.230307	-6.580657
28	0.929069	75000	-0.229972	-6.810629
29	0.926679	75000	-0.229632	-7.040260
30	0.924293	75000	-0.229255	-7.269516
31	0.921910	75000	-0.228897	-7.498412
32	0.919531	75000	-0.228559	-7.726971
33	0.917155	75000	-0.228235	-7.955206
34	0.914783	75000	-0.227922	-8.183128
35	0.912415	75000	-0.227541	-8.410669
36	0.910051	75000	-0.227263	-8.637932
37	0.907690	75000	-0.226908	-8.864840
38	0.905333	75000	-0.226523	-9.091363
39	0.902980	75000	-0.226146	-9.317510
40	0.900630	75000	-0.225853	-9.543363
41	0.898284	75000	-0.225544	-9.768907
42	0.895942	75000	-0.225147	-9.994054
43	0.893603	75000	-0.224836	-10.218890
44	0.891268	75000	-0.224432	-10.443322
45	0.888937	75000	-0.224083	-10.667405
46	0.886609	75000	-0.223777	-10.891182
47	0.884285	75000	-0.223535	-11.114717
48	0.881965	75000	-0.223080	-11.337796
49	0.879648	75000	-0.222736	-11.560532
50	0.877335	75000	-0.222436	-11.782968
51	0.875026	75000	-0.222086	-12.005054
52	0.872720	75000	-0.221785	-12.226839
53	0.870418	75000	-0.221363	-12.448202
54	0.868120	75000	-0.221053	-12.669255
55	0.865825	75000	-0.220784	-12.890039
56	0.863534	75000	-0.220416	-13.110455
57	0.861246	75000	-0.219956	-13.330411
58	0.858962	75000	-0.219672	-13.550083
59	0.856682	75000	-0.219346	-13.769429
